scenario,n_time,rep,method,detected
null,20,1,classical_two_way_within,False
null,20,1,bayesian_bic,False
null,20,2,classical_two_way_within,False
null,20,2,bayesian_bic,False
null,20,3,classical_two_way_within,False
null,20,3,bayesian_bic,False
null,20,4,classical_two_way_within,False
null,20,4,bayesian_bic,False
null,20,5,classical_two_way_within,False
null,20,5,bayesian_bic,False
null,20,6,classical_two_way_within,True
null,20,6,bayesian_bic,True
null,20,7,classical_two_way_within,False
null,20,7,bayesian_bic,False
null,20,8,classical_two_way_within,False
null,20,8,bayesian_bic,False
null,20,9,classical_two_way_within,False
null,20,9,bayesian_bic,False
null,20,10,classical_two_way_within,False
null,20,10,bayesian_bic,False
null,20,11,classical_two_way_within,False
null,20,11,bayesian_bic,False
null,20,12,classical_two_way_within,False
null,20,12,bayesian_bic,False
null,20,13,classical_two_way_within,False
null,20,13,bayesian_bic,False
null,20,14,classical_two_way_within,False
null,20,14,bayesian_bic,False
null,20,15,classical_two_way_within,False
null,20,15,bayesian_bic,False
null,20,16,classical_two_way_within,True
null,20,16,bayesian_bic,False
null,20,17,classical_two_way_within,False
null,20,17,bayesian_bic,False
null,20,18,classical_two_way_within,False
null,20,18,bayesian_bic,False
null,20,19,classical_two_way_within,False
null,20,19,bayesian_bic,False
null,20,20,classical_two_way_within,False
null,20,20,bayesian_bic,False
null,20,21,classical_two_way_within,False
null,20,21,bayesian_bic,False
null,20,22,classical_two_way_within,False
null,20,22,bayesian_bic,False
null,20,23,classical_two_way_within,False
null,20,23,bayesian_bic,False
null,20,24,classical_two_way_within,False
null,20,24,bayesian_bic,False
null,20,25,classical_two_way_within,False
null,20,25,bayesian_bic,False
null,20,26,classical_two_way_within,True
null,20,26,bayesian_bic,False
null,20,27,classical_two_way_within,False
null,20,27,bayesian_bic,False
null,20,28,classical_two_way_within,False
null,20,28,bayesian_bic,False
null,20,29,classical_two_way_within,False
null,20,29,bayesian_bic,False
null,20,30,classical_two_way_within,True
null,20,30,bayesian_bic,False
null,20,31,classical_two_way_within,False
null,20,31,bayesian_bic,False
null,20,32,classical_two_way_within,False
null,20,32,bayesian_bic,False
null,20,33,classical_two_way_within,False
null,20,33,bayesian_bic,False
null,20,34,classical_two_way_within,False
null,20,34,bayesian_bic,False
null,20,35,classical_two_way_within,False
null,20,35,bayesian_bic,False
null,20,36,classical_two_way_within,False
null,20,36,bayesian_bic,False
null,20,37,classical_two_way_within,False
null,20,37,bayesian_bic,False
null,20,38,classical_two_way_within,False
null,20,38,bayesian_bic,False
null,20,39,classical_two_way_within,False
null,20,39,bayesian_bic,False
null,20,40,classical_two_way_within,False
null,20,40,bayesian_bic,False
null,20,41,classical_two_way_within,False
null,20,41,bayesian_bic,False
null,20,42,classical_two_way_within,False
null,20,42,bayesian_bic,False
null,20,43,classical_two_way_within,False
null,20,43,bayesian_bic,False
null,20,44,classical_two_way_within,False
null,20,44,bayesian_bic,False
null,20,45,classical_two_way_within,False
null,20,45,bayesian_bic,False
null,20,46,classical_two_way_within,False
null,20,46,bayesian_bic,False
null,20,47,classical_two_way_within,False
null,20,47,bayesian_bic,False
null,20,48,classical_two_way_within,False
null,20,48,bayesian_bic,False
null,20,49,classical_two_way_within,False
null,20,49,bayesian_bic,False
null,20,50,classical_two_way_within,True
null,20,50,bayesian_bic,False
null,20,51,classical_two_way_within,False
null,20,51,bayesian_bic,False
null,20,52,classical_two_way_within,False
null,20,52,bayesian_bic,False
null,20,53,classical_two_way_within,False
null,20,53,bayesian_bic,False
null,20,54,classical_two_way_within,False
null,20,54,bayesian_bic,False
null,20,55,classical_two_way_within,False
null,20,55,bayesian_bic,False
null,20,56,classical_two_way_within,False
null,20,56,bayesian_bic,False
null,20,57,classical_two_way_within,False
null,20,57,bayesian_bic,False
null,20,58,classical_two_way_within,False
null,20,58,bayesian_bic,False
null,20,59,classical_two_way_within,False
null,20,59,bayesian_bic,False
