scenario,n_time,method,detection_rate,n_rep
break,20,bayesian_bic,1.0,100
break,20,classical_two_way_within,1.0,100
break,28,bayesian_bic,1.0,100
break,28,classical_two_way_within,1.0,100
break,40,bayesian_bic,1.0,100
break,40,classical_two_way_within,1.0,100
linear,20,bayesian_bic,1.0,100
linear,20,classical_two_way_within,1.0,100
linear,28,bayesian_bic,1.0,100
linear,28,classical_two_way_within,1.0,100
linear,40,bayesian_bic,1.0,100
linear,40,classical_two_way_within,1.0,100
nonlinear,20,bayesian_bic,0.19,100
nonlinear,20,classical_two_way_within,0.41,100
nonlinear,28,bayesian_bic,0.23,100
nonlinear,28,classical_two_way_within,0.41,100
nonlinear,40,bayesian_bic,0.22,100
nonlinear,40,classical_two_way_within,0.39,100
null,20,bayesian_bic,0.01,100
null,20,classical_two_way_within,0.07,100
null,28,bayesian_bic,0.01,100
null,28,classical_two_way_within,0.05,100
null,40,bayesian_bic,0.0,100
null,40,classical_two_way_within,0.08,100
